,state,year,state_abbv,TEMP_F,bike_deaths,vmt,Survey,Population,Commuters,Bicycle commuters
76,Illinois,2014,IL,60.3,27,105986.0,ACS5,12868747,5928078,35651
77,Illinois,2015,IL,63.2230769231,26,98918.0,ACS5,12873761,5983836,37314
78,Indiana,2010,IN,63.8222222222,13,78638.0,ACS5,6417398,2932461,11396
79,Indiana,2011,IN,59.01,11,75690.0,ACS5,6454254,2923957,12316
80,Indiana,2012,IN,56.6727272727,15,76407.0,ACS5,6485530,2923571,13637
81,Indiana,2013,IN,68.8,14,76253.0,ACS5,6514861,2911709,14103
82,Indiana,2014,IN,-1055.72222222,12,83156.0,ACS5,6542411,2942663,14352
83,Indiana,2015,IN,-1190.7125,10,74446.0,ACS5,6568645,2986176,14773
84,Iowa,2010,IA,77.775,8,31472.0,ACS5,3016267,1520445,7475
85,Iowa,2011,IA,64.08,5,31111.0,ACS5,3032266,1524370,7274
86,Iowa,2012,IA,67.9333333333,3,31398.0,ACS5,3047646,1529744,7537
87,Iowa,2013,IA,72.5,3,31025.0,ACS5,3062553,1526130,7489
88,Iowa,2014,IA,56.975,4,31762.0,ACS5,3078116,1535285,7833
89,Iowa,2015,IA,66.92,5,29218.0,ACS5,3093526,1546601,8133
90,Kansas,2010,KS,86.0,1,29812.0,ACS5,2809329,1374765,4827
91,Kansas,2011,KS,76.8,2,28797.0,ACS5,2830985,1381297,5083
92,Kansas,2012,KS,68.3714285714,7,30253.0,ACS5,2851183,1386193,4953
93,Kansas,2013,KS,73.04,6,29939.0,ACS5,2868107,1378025,4912
94,Kansas,2014,KS,68.3714285714,7,30591.0,ACS5,2882946,1383284,4738
95,Kansas,2015,KS,77.6,3,28900.0,ACS5,2892987,1393853,4584
96,Kentucky,2010,KY,65.5571428571,7,47477.0,ACS5,4285828,1839402,3880
97,Kentucky,2011,KY,58.0,2,47620.0,ACS5,4316040,1836432,4206
98,Kentucky,2012,KY,69.9833333333,6,48603.0,ACS5,4340167,1833778,4078
99,Kentucky,2013,KY,71.6666666667,3,48178.0,ACS5,4361333,1832657,4279
100,Kentucky,2014,KY,75.8,4,47334.0,ACS5,4383272,1845143,4332
101,Kentucky,2015,KY,-1370.68571429,7,44750.0,ACS5,4397353,1864524,4327
102,Louisiana,2010,LA,69.0454545455,11,43956.0,ACS5,4429940,1914440,6951
103,Louisiana,2011,LA,-488.661111111,18,43830.0,ACS5,4484596,1939748,7404
104,Louisiana,2012,LA,70.8304347826,24,45645.0,ACS5,4529605,1960054,8027
105,Louisiana,2013,LA,67.6285714286,14,46638.0,ACS5,4567968,1963928,8881
106,Louisiana,2014,LA,72.0692307692,13,48172.0,ACS5,4601049,1970623,9211
107,Louisiana,2015,LA,72.8375,34,45218.0,ACS5,4625253,1986355,10029
108,Maine,2010,ME,78.1,1,14623.0,ACS5,1327665,641796,3048
109,Maine,2012,ME,69.8,1,14192.0,ACS5,1329084,637261,3235
110,Maine,2013,ME,66.5,4,14108.0,ACS5,1328320,633153,3015
111,Maine,2014,ME,54.5,2,14116.0,ACS5,1328535,632757,3164
112,Maryland,2010,MD,65.5,8,55677.0,ACS5,5696423,2855936,7618
113,Maryland,2011,MD,67.2,5,55970.0,ACS5,5736545,2868084,7522
114,Maryland,2012,MD,64.98,5,56280.0,ACS5,5785496,2889278,8533
115,Maryland,2013,MD,74.7,6,56330.0,ACS5,5834299,2891357,8709
116,Maryland,2014,MD,58.1,5,57417.0,ACS5,5887776,2913869,8553
117,Maryland,2015,MD,58.91,11,53009.0,ACS5,5930538,2942352,9138
118,Massachusetts,2010,MA,75.0142857143,7,55689.0,ACS5,6477096,3188619,21415
119,Massachusetts,2011,MA,47.6,5,53110.0,ACS5,6512227,3202521,21938
120,Massachusetts,2012,MA,61.3933333333,16,54947.0,ACS5,6560595,3231819,23261
121,Massachusetts,2013,MA,59.7,6,54776.0,ACS5,6605058,3239623,24232
122,Massachusetts,2014,MA,63.4875,8,56854.0,ACS5,6657291,3284998,24645
123,Massachusetts,2015,MA,59.5625,9,52817.0,ACS5,6705586,3346749,25680
124,Michigan,2010,MI,57.2178571429,29,97625.0,ACS5,9952687,4255557,17103
125,Michigan,2011,MI,62.0,24,95739.0,ACS5,9920621,4201510,18195
126,Michigan,2012,MI,69.8894736842,19,95402.0,ACS5,9897264,4171196,19004
127,Michigan,2013,MI,60.5888888889,27,95593.0,ACS5,9886095,4147131,19101
128,Michigan,2014,MI,60.4238095238,22,95793.0,ACS5,9889024,4199791,18880
129,Michigan,2015,MI,58.9875,33,92369.0,ACS5,9900571,4279616,19582
130,Minnesota,2010,MN,72.6777777778,9,57302.0,ACS5,5241914,2676172,19422
131,Minnesota,2011,MN,52.26,5,56893.0,ACS5,5278190,2684619,19706
132,Minnesota,2012,MN,59.4428571429,7,57392.0,ACS5,5313081,2697932,20503
133,Minnesota,2013,MN,61.2166666667,6,56929.0,ACS5,5347740,2700121,19843
134,Minnesota,2014,MN,54.9,5,56886.0,ACS5,5383661,2733199,20842
135,Minnesota,2015,MN,67.08,10,54716.0,ACS5,5419171,2776528,22727
136,Mississippi,2010,MS,47.0,4,41197.0,ACS5,2941991,1197141,1889
137,Mississippi,2011,MS,68.5,7,39271.0,ACS5,2956700,1193495,1520
138,Mississippi,2012,MS,66.85,4,38282.0,ACS5,2967620,1190185,1429
139,Mississippi,2013,MS,-1605.56666667,6,38487.0,ACS5,2976872,1179917,1201
140,Mississippi,2014,MS,73.3833333333,6,39611.0,ACS5,2984345,1183892,1327
141,Mississippi,2015,MS,78.52,5,37798.0,ACS5,2988081,1189806,1547
142,Missouri,2010,MO,62.2857142857,7,68863.0,ACS5,5922314,2752405,6067
143,Missouri,2011,MO,57.0,1,68557.0,ACS5,5955802,2751055,6110
144,Missouri,2012,MO,71.9,6,68857.0,ACS5,5982413,2747695,6326
145,Missouri,2013,MO,63.0,4,68608.0,ACS5,6007182,2738553,6674
146,Missouri,2014,MO,71.82,5,70235.0,ACS5,6028076,2747017,7017
147,Missouri,2015,MO,65.0444444444,9,67144.0,ACS5,6045448,2775023,6722
148,Montana,2011,MT,93.2,1,11249.0,ACS5,982854,468895,6138
149,Montana,2012,MT,96.1,1,11851.0,ACS5,990785,470377,6515
