Year,State,Population,Commuters,Bicycle commuters,VMT,No. deaths,Deaths per B miles
2012,AR,2916372,1232938,1330,32842,560,1.7051336703002253
2012,CA,37325068,16282943,169860,318777,2966,0.9304309909435123
2012,CO,5042853,2481269,32578,47305,474,1.002008244371631
2012,CT,3572213,1730076,4737,31342,264,0.8423202093038096
2012,DE,900131,416699,1284,9125,114,1.2493150684931507
2012,FL,18885152,8107476,51997,191488,2431,1.26953125
2012,GA,9714569,4234475,9329,107724,1192,1.1065315064423897
2012,HI,1362730,665358,6332,10113,125,1.2360328290319391
2012,ID,1567803,687321,8291,16076,184,1.1445633242100024
2012,IL,12823860,5926796,35072,104212,956,0.9173607645952481
2012,IN,6485530,2923571,13637,76407,781,1.022157655712173
2012,IA,3047646,1529744,7537,31398,365,1.1624944263965857
2012,KS,2851183,1386193,4953,30253,405,1.3387102105576305
2012,KY,4340167,1833778,4078,48603,746,1.5348846779005412
2012,LA,4529605,1960054,8027,45645,723,1.583963194216234
2012,ME,1329084,637261,3235,14192,164,1.1555806087936866
2012,MD,5785496,2889278,8533,56280,511,0.9079601990049752
2012,MA,6560595,3231819,23261,54947,383,0.6970353249494967
2012,MI,9897264,4171196,19004,95402,940,0.9853042913146475
2012,MN,5313081,2697932,20503,57392,395,0.6882492333426262
2012,MS,2967620,1190185,1429,38282,582,1.5202967452066245
2012,MO,5982413,2747695,6326,68857,826,1.1995875510115166
2012,MT,990785,470377,6515,11851,205,1.7298118302252974
2012,NE,1827306,935599,4691,19296,212,1.0986733001658375
2012,NV,2704204,1223670,5652,23936,261,1.0904077540106951
2012,NH,1317474,679196,1715,12776,108,0.8453350031308704
2012,NJ,8793888,4127735,13924,73864,589,0.7974114588974333
2012,NM,2055287,873552,6154,25398,366,1.4410583510512638
2012,NY,19398125,8877453,44548,127619,1180,0.924627210681795
2012,NC,9544249,4237689,10489,103964,1299,1.249470970720634
2012,ND,676253,363094,2089,9628,170,1.7656834233485668
2012,OH,11533561,5196293,15567,112791,1121,0.9938736246686348
2012,OK,3749005,1676739,4027,48445,709,1.463515326659098
2012,OR,3836628,1705593,39517,33184,337,1.015549662487946
2012,PA,12699589,5808681,25969,99318,1310,1.3189955496486034
2012,RI,1052471,500642,2090,7909,64,0.809204703502339
2012,SC,4630351,1988444,6020,48849,863,1.7666687137914798
2012,SD,815871,412161,2491,9032,133,1.4725420726306466
2012,TN,6353226,2762765,3896,71194,1015,1.4256819394892828
2012,TX,25208897,11314152,29282,242314,3408,1.4064395783982766
2012,UT,2766233,1249915,10217,26345,217,0.823685708863162
2012,VT,625498,319359,2417,7132,77,1.079641054402692
2012,VA,8014955,3906766,14182,80522,776,0.9637117806313803
2012,WA,6738714,3127950,28304,56561,438,0.7743851770654692
2012,WV,1850481,743046,924,19013,339,1.7829905853889445
2012,WI,5687219,2807856,21098,54871,615,1.1208106285651802
2012,WY,562803,285577,2552,9351,123,1.315367340391402
2013,AL,4799277,1973623,2357,64945,853,1.3134190468858264
2013,AK,720316,348457,3567,4589,51,1.1113532359991285
2013,AZ,6479703,2684408,25118,60027,849,1.414363536408616
2013,AR,2933369,1225869,1504,32536,498,1.530612244897959
2013,CA,37659181,16290887,174748,322495,3107,0.9634257895471248
2013,CO,5119329,2494794,32833,47969,482,1.004815610081511
2013,CT,3583561,1727286,4793,31277,286,0.9144099498033699
2013,DE,908446,416163,1323,9129,99,1.0844561288202432
2013,FL,19091156,8094220,53403,193238,2403,1.2435442304308677
2013,GA,9810417,4210796,9249,109375,1180,1.078857142857143
2013,HI,1376298,663718,7026,10206,102,0.9994121105232217
2013,ID,1583364,684393,7497,16258,214,1.3162750645835897
2013,IL,12848554,5893225,34630,104027,991,0.9526372960865929
2013,IN,6514861,2911709,14103,76253,784,1.0281562692615371
2013,IA,3062553,1526130,7489,31025,317,1.0217566478646254
2013,KS,2868107,1378025,4912,29939,350,1.1690437222352115
2013,KY,4361333,1832657,4279,48178,638,1.3242558844285772
2013,LA,4567968,1963928,8881,46638,703,1.5073545177752048
2013,ME,1328320,633153,3015,14108,144,1.0206974766090162
2013,MD,5834299,2891357,8709,56330,465,0.8254926327001597
2013,MA,6605058,3239623,24232,54776,351,0.6407915875565942
2013,MI,9886095,4147131,19101,95593,947,0.9906583118010733
2013,MN,5347740,2700121,19843,56929,387,0.6797941295297651
2013,MS,2976872,1179917,1201,38487,613,1.5927456024112039
2013,MO,6007182,2738553,6674,68608,757,1.103369869402985
2013,MT,998554,469319,6554,12030,229,1.9035743973399835
2013,NE,1841625,937094,4554,19375,211,1.0890322580645162
2013,NV,2730066,1215590,5578,24170,266,1.1005378568473314
2013,NH,1319171,674692,1589,12786,135,1.0558423275457531
2013,NJ,8832406,4107798,14821,73577,542,0.7366432444921647
2013,NM,2069706,868937,6312,25335,311,1.2275508190250641
2013,NY,19487053,8870713,48268,125994,1202,0.954013683191263
2013,NC,9651380,4227986,9970,104746,1290,1.231550608137781
2013,ND,689781,369676,1871,9462,148,1.564151342210949
2013,OH,11549590,5164077,15355,113651,989,0.870207917220262
