auto_braking,make,model,warning,year
Optional,Infiniti,QX60 4dr,Optional,2017
Optional,Infiniti,QX60 4dr 4WD,Optional,2017
Optional,Infiniti,QX60 hybrid 4dr,Optional,2017
Optional,Infiniti,QX60 hybrid 4dr 4WD,Optional,2017
Optional,Infiniti,QX70 4dr,Optional,2017
Optional,Infiniti,QX70 4dr 4WD,Optional,2017
Optional,Infiniti,QX80 4dr,Optional,2017
Optional,Infiniti,QX80 4dr 4WD,Optional,2017
Optional,Jaguar,F-Pace 4dr 4WD,Optional,2017
Not available,Jaguar,F-Type 2dr,Not available,2017
Not available,Jaguar,F-Type 2dr 4WD,Not available,2017
Not available,Jaguar,F-Type convertible,Not available,2017
Not available,Jaguar,F-Type convertible 4WD,Not available,2017
Optional,Jaguar,XE 4dr,Optional,2017
Optional,Jaguar,XE 4dr 4WD,Optional,2017
Optional,Jaguar,XF 4dr,Optional,2017
Optional,Jaguar,XF 4dr 4WD,Optional,2017
Not available,Jaguar,XJ 4dr,Optional,2017
Not available,Jaguar,XJ 4dr 4WD,Optional,2017
Not available,Jaguar,XJ 4dr LWB,Optional,2017
Not available,Jaguar,XJ 4dr LWB 4WD,Optional,2017
Optional,Kia,Cadenza 4dr,Optional,2017
Optional,Kia,Forte 4dr,Optional,2017
Optional,Kia,K900 4dr,Optional,2017
Optional,Kia,Optima 4dr,Optional,2017
Optional,Kia,Optima hybrid 4dr,Optional,2017
Optional,Kia,Optima plug-in hybrid 4dr,Optional,2017
Not available,Kia,Sedona,Optional,2017
Optional,Kia,Sorento 4dr,Optional,2017
Optional,Kia,Sorento 4dr 4WD,Optional,2017
Not available,Kia,Soul station wagon,Optional,2017
Optional,Kia,Sportage 4dr,Optional,2017
Optional,Kia,Sportage 4dr 4WD,Optional,2017
Standard,Land Rover,Discovery 4dr 4WD,Standard,2017
Optional,Land Rover,Discovery Sport 4dr 4WD,Standard,2017
Optional,Land Rover,Range Rover 4dr 4WD,Optional,2017
Optional,Land Rover,Range Rover 4dr LWB 4WD,Optional,2017
Optional,Land Rover,Range Rover Evoque 2dr 4WD,Optional,2017
Optional,Land Rover,Range Rover Evoque 4dr 4WD,Optional,2017
Optional,Land Rover,Range Rover Evoque convertible 4WD,Optional,2017
Optional,Land Rover,Range Rover Sport 4dr 4WD,Optional,2017
Optional,Lexus,CT 200H hybrid 4dr,Optional,2017
Standard,Lexus,ES 300h hybrid 4dr,Standard,2017
Standard,Lexus,ES 350 4dr,Standard,2017
Standard,Lexus,GS 200T 4dr,Standard,2017
Standard,Lexus,GS 350 4dr,Standard,2017
Standard,Lexus,GS 350 4dr 4WD,Standard,2017
Standard,Lexus,GS 450h hybrid 4dr,Standard,2017
Standard,Lexus,GS F 4dr,Standard,2017
Optional,Lexus,GX 460 4dr 4WD,Optional,2017
Standard,Lexus,IS 200T 4dr,Standard,2017
Standard,Lexus,IS 300 4dr 4WD,Standard,2017
Standard,Lexus,IS 350 4dr,Standard,2017
Standard,Lexus,IS 350 4dr 4WD,Standard,2017
Optional,Lexus,LS 460 4dr,Optional,2017
Optional,Lexus,LS 460 4dr 4WD,Optional,2017
Optional,Lexus,LS 460 L 4dr,Optional,2017
Optional,Lexus,LS 460 L 4dr 4WD,Optional,2017
Optional,Lexus,LS 600h hybrid 4dr LWB 4WD,Optional,2017
Standard,Lexus,LX 570 4dr 4WD,Standard,2017
Optional,Lexus,NX 200T 4dr,Optional,2017
Optional,Lexus,NX 200T 4dr 4WD,Optional,2017
Optional,Lexus,NX 300h hybrid 4dr,Optional,2017
Optional,Lexus,NX 300h hybrid 4dr 4WD,Optional,2017
Optional,Lexus,RC 200T 2dr,Optional,2017
Optional,Lexus,RC 300 2dr 4WD,Optional,2017
Optional,Lexus,RC 350 2dr,Optional,2017
Optional,Lexus,RC 350 2dr 4WD,Optional,2017
Optional,Lexus,RC-F 2dr,Optional,2017
Standard,Lexus,RX 350 4dr,Standard,2017
Standard,Lexus,RX 350 4dr 4WD,Standard,2017
Optional,Lexus,RX 450h hybrid 4dr,Optional,2017
Standard,Lexus,RX 450h hybrid 4dr 4WD,Standard,2017
Optional,Lincoln,Continental 4dr,Optional,2017
Optional,Lincoln,Continental 4dr 4WD,Optional,2017
Not available,Lincoln,MKC 4dr,Optional,2017
Not available,Lincoln,MKC 4dr 4WD,Optional,2017
Not available,Lincoln,MKT 4dr,Not available,2017
Not available,Lincoln,MKT 4dr 4WD,Optional,2017
Optional,Lincoln,MKX 4dr,Optional,2017
Optional,Lincoln,MKX 4dr 4WD,Optional,2017
Optional,Lincoln,MKZ 4dr,Optional,2017
Optional,Lincoln,MKZ 4dr 4WD,Optional,2017
Optional,Lincoln,MKZ hybrid 4dr,Optional,2017
Not available,Lincoln,Navigator 4dr,Not available,2017
Not available,Lincoln,Navigator 4dr 4WD,Not available,2017
Not available,Lincoln,Navigator L 4dr,Not available,2017
Not available,Lincoln,Navigator L 4dr 4WD,Not available,2017
Not available,Maserati,Ghibli 4dr,Not available,2017
Not available,Maserati,Ghibli 4dr 4WD,Not available,2017
Not available,Maserati,Granturismo 2dr,Not available,2017
Not available,Maserati,Granturismo convertible,Not available,2017
Optional,Maserati,Levante 4dr 4WD,Optional,2017
Not available,Maserati,Quattroporte 4dr,Not available,2017
Not available,Maserati,Quattroporte 4dr 4WD,Not available,2017
Optional,Mazda,3 4dr,Optional,2017
Optional,Mazda,3 4dr hatchback,Optional,2017
Optional,Mazda,6 4dr,Optional,2017
Optional,Mazda,CX-3 4dr,Optional,2017
Optional,Mazda,CX-3 4dr 4WD,Optional,2017
Optional,Mazda,CX-5 4dr,Optional,2017
Optional,Mazda,CX-5 4dr 4WD,Optional,2017
Optional,Mazda,CX-9 4dr,Not available,2017
Optional,Mazda,CX-9 4dr 4WD,Not available,2017
Not available,Mazda,MX-5 Miata convertible,Not available,2017
Optional,Mini,Clubman station wagon,Optional,2017
Optional,Mini,Clubman station wagon 4WD,Optional,2017
Optional,Mini,Cooper 2dr,Optional,2017
Optional,Mini,Cooper 4dr,Optional,2017
Optional,Mini,Cooper convertible,Optional,2017
Optional,Mitsubishi,Outlander 4dr,Optional,2017
Optional,Mitsubishi,Outlander 4dr 4WD,Optional,2017
Optional,Porsche,911 Carrera 2dr,Optional,2017
Optional,Porsche,911 Carrera convertible,Optional,2017
Optional,Porsche,911 Targa 2dr 4WD,Optional,2017
Optional,Porsche,911 Turbo 2dr 4WD,Optional,2017
Optional,Porsche,911 Turbo convertible 4WD,Optional,2017
Optional,Porsche,Boxster convertible,Optional,2017
Optional,Porsche,Cayenne 4dr 4WD,Optional,2017
Optional,Porsche,Cayenne hybrid 4dr 4WD,Optional,2017
Optional,Porsche,Cayman 2dr,Optional,2017
Optional,Porsche,Macan 4dr 4WD,Optional,2017
Optional,Porsche,Panamera 4dr,Optional,2017
Optional,Porsche,Panamera hybrid 4dr 4WD,Optional,2017
Optional,Porsche,Panamera turbo 4dr 4WD,Optional,2017
Not available,Rolls Royce,Dawn convertible,Not available,2017
Not available,Rolls Royce,Ghost 4dr,Optional,2017
Not available,Rolls Royce,Ghost EWB 4dr,Optional,2017
Not available,Rolls Royce,Phantom 4dr,Not available,2017
Not available,Rolls Royce,Phantom 4dr LWB,Not available,2017
Not available,Rolls Royce,Phantom convertible,Not available,2017
Not available,Rolls Royce,Wraith 2dr,Optional,2017
Not available,Smart,ForTwo 2dr,Optional,2017
Not available,Smart,ForTwo convertible,Optional,2017
Optional,Subaru,Forester 4dr 4WD,Optional,2017
Optional,Subaru,Impreza 4dr 4WD,Optional,2017
Optional,Subaru,Impreza station wagon 4WD,Optional,2017
Optional,Subaru,Legacy 4dr 4WD,Optional,2017
Optional,Subaru,Outback station wagon 4WD,Optional,2017
Optional,Subaru,WRX 4dr 4WD,Optional,2017
Optional,Subaru,XV Crosstrek station wagon 4WD,Optional,2017
Optional,Tesla,Model S 4dr electric,Optional,2017
Optional,Tesla,Model S 4dr electric 4WD,Optional,2017
Standard,Tesla,Model X 4dr electric 4WD,Standard,2017
Optional,Toyota,Avalon 4dr,Optional,2017
Optional,Toyota,Avalon hybrid 4dr,Optional,2017
Optional,Toyota,Camry 4dr,Optional,2017
Optional,Toyota,Camry hybrid 4dr,Optional,2017
Standard,Toyota,Corolla 4dr,Standard,2017
Standard,Toyota,Corolla iM station wagon,Standard,2017
Optional,Toyota,Highlander 4dr,Optional,2017
Optional,Toyota,Highlander 4dr 4WD,Optional,2017
Optional,Toyota,Highlander hybrid 4dr 4WD,Optional,2017
Standard,Toyota,Land Cruiser 4dr 4WD,Standard,2017
Standard,Toyota,Mirai fuel cell 4dr,Standard,2017
Optional,Toyota,Prius c hybrid 4dr,Optional,2017
Standard,Toyota,Prius hybrid 4dr,Standard,2017
Standard,Toyota,Prius Prime plug-in hybrid 4dr,Standard,2017
Optional,Toyota,Prius v hybrid station wagon,Optional,2017
Standard,Toyota,RAV4 4dr,Standard,2017
Standard,Toyota,RAV4 4dr 4WD,Standard,2017
Standard,Toyota,RAV4 hybrid 4dr 4WD,Standard,2017
Not available,Toyota,Sequoia 4dr,Not available,2017
Not available,Toyota,Sequoia 4dr 4WD,Not available,2017
Optional,Toyota,Sienna,Optional,2017
Optional,Toyota,Sienna 4WD,Optional,2017
Not available,Toyota,Tacoma double cab pickup 4WD,Not available,2017
Not available,Toyota,Tacoma double cab pickup LWB,Not available,2017
Not available,Toyota,Tacoma double cab pickup LWB 4WD,Not available,2017
Not available,Toyota,Tacoma xtracab pickup,Not available,2017
Not available,Toyota,Tacoma xtracab pickup 4WD,Not available,2017
Not available,Toyota,Tundra CrewMax pickup,Not available,2017
Not available,Toyota,Tundra CrewMax pickup 4WD,Not available,2017
Not available,Toyota,Tundra double cab pickup,Not available,2017
Not available,Toyota,Tundra double cab pickup 4WD,Not available,2017
Not available,Toyota,Tundra double cab pickup LWB,Not available,2017
Not available,Toyota,Tundra double cab pickup LWB 4WD,Not available,2017
Standard,Toyota,Yaris,Standard,2017
Standard,Toyota,Yaris 2dr,Standard,2017
Standard,Toyota,Yaris iA 4dr,Standard,2017
Optional,Volkswagen,CC 4dr,Optional,2017
Optional,Volkswagen,CC 4dr 4WD,Optional,2017
Not available,Volkswagen,Golf 2dr,Not available,2017
Optional,Volkswagen,Golf 4dr,Optional,2017
Optional,Volkswagen,Golf Alltrack station wagon 4WD,Not available,2017
Not available,Volkswagen,Golf electric 4dr,Optional,2017
Standard,Volkswagen,Golf R 4dr 4WD,Standard,2017
Optional,Volkswagen,Golf station wagon,Optional,2017
Optional,Volkswagen,Golf station wagon 4WD,Optional,2017
Optional,Volkswagen,GTI 2dr,Optional,2017
Optional,Volkswagen,GTI 4dr,Optional,2017
Optional,Volkswagen,Jetta 4dr,Optional,2017
Not available,Volkswagen,New Beetle 2dr,Not available,2017
Not available,Volkswagen,New Beetle convertible,Not available,2017
Optional,Volkswagen,Passat 4dr,Standard,2017
Not available,Volkswagen,Tiguan 4dr,Not available,2017
Not available,Volkswagen,Tiguan 4dr 4WD,Not available,2017
Optional,Volkswagen,Touareg 4dr 4WD,Standard,2017
Standard,Volvo,S60 4dr,Optional,2017
Standard,Volvo,S60 4dr 4WD,Optional,2017
Standard,Volvo,S60 Cross Country 4dr 4WD,Standard,2017
Standard,Volvo,S60 Inscription 4dr,Optional,2017
Standard,Volvo,S60 Inscription 4dr 4WD,Optional,2017
Standard,Volvo,S90 4dr,Standard,2017
Standard,Volvo,S90 4dr 4WD,Standard,2017
Standard,Volvo,V60 Cross Country station wagon 4WD,Optional,2017
Standard,Volvo,V60 station wagon,Optional,2017
Standard,Volvo,V60 station wagon 4WD,Optional,2017
Standard,Volvo,XC60 4dr,Optional,2017
Standard,Volvo,XC60 4dr 4WD,Optional,2017
Standard,Volvo,XC90 4dr,Standard,2017
Standard,Volvo,XC90 4dr 4WD,Standard,2017
Standard,Volvo,XC90 plug-in hybrid 4dr 4WD,Standard,2017
Not available,Mercedes-Benz,CL class 2dr,Optional,2001
Not available,Mercedes-Benz,CLK class 2dr,Optional,2001
Not available,Mercedes-Benz,CLK class convertible,Optional,2001
Not available,Mercedes-Benz,S class 4dr,Optional,2001
Not available,Mercedes-Benz,CL class 2dr,Optional,2002
Not available,Mercedes-Benz,CLK class 2dr,Optional,2002
Not available,Mercedes-Benz,CLK class convertible,Optional,2002
Not available,Mercedes-Benz,S class 4dr,Optional,2002
Not available,Mercedes-Benz,CL class 2dr,Optional,2003
Not available,Mercedes-Benz,CLK class 2dr,Optional,2003
Not available,Mercedes-Benz,CLK class convertible,Optional,2003
